actual: -11.881660461425781, predicted: 3.4028234663852886e+38
actual: 7.031107425689697, predicted: 33.212623596191406
actual: -7.861248016357422, predicted: 12.401263236999512
actual: -1.4620709419250488, predicted: 3.7997188568115234
actual: -5.694773197174072, predicted: 0.7893528938293457
actual: -12.46185302734375, predicted: -4.901335716247559
actual: -3.6252384185791016, predicted: 2.5770363807678223
actual: -1.593806266784668, predicted: 25.287906646728516
actual: -12.422623634338379, predicted: 3.4028234663852886e+38
actual: -13.297506332397461, predicted: 3.4028234663852886e+38
actual: -7.872537612915039, predicted: 10.49355697631836
actual: -9.58056354522705, predicted: -5.384516716003418
actual: 3.4028234663852886e+38, predicted: 23.131956100463867
actual: -2.4016470909118652, predicted: 3.4028234663852886e+38
actual: -1.3661999702453613, predicted: 9.726131439208984
actual: -7.461606979370117, predicted: 3.4028234663852886e+38
actual: -6.570164203643799, predicted: 3.4028234663852886e+38
actual: -9.323530197143555, predicted: 5.823940277099609
actual: 3.4028234663852886e+38, predicted: 85.0707015991211
actual: -15.216165542602539, predicted: 3.4028234663852886e+38
actual: 25.24631118774414, predicted: 3.4028234663852886e+38
actual: -6.284458160400391, predicted: 3.4028234663852886e+38
actual: -11.120943069458008, predicted: 3.4028234663852886e+38
actual: -3.06018328666687, predicted: 7.00161075592041
actual: -16.506858825683594, predicted: -10.841151237487793
actual: -0.29724836349487305, predicted: 11.845609664916992
actual: -5.159292221069336, predicted: 2.981985092163086
actual: -15.144445419311523, predicted: 3.4028234663852886e+38
actual: 3.4028234663852886e+38, predicted: 26.982730865478516
actual: -8.909135818481445, predicted: 10.954898834228516
actual: -9.500055313110352, predicted: -1.3494596481323242
actual: 1.6304981708526611, predicted: 8.888175964355469
actual: -4.166092395782471, predicted: 3.4028234663852886e+38
actual: 1.2802038192749023, predicted: 3.4028234663852886e+38
actual: -5.508875370025635, predicted: 14.009440422058105
actual: 3.4028234663852886e+38, predicted: 43.935272216796875
actual: -11.854970932006836, predicted: -6.717381000518799
